round,scope,user_id,background,lighting,gesture_label,target_samples,accepted_samples,rejected_attempts,recommended_mode,status,notes,file_path
phase4_v2,unified,U01,plain,bright,FIST,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,CLOSED_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,BRAVO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,THUMBS_DOWN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,ONE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,TWO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,THREE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,FOUR,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,FIVE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,OPEN_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,SHAKA,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,PEACE_SIGN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,L,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,POINT_RIGHT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,POINT_LEFT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,plain,bright,PINCH_INDEX,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,plain,bright,PINCH_MIDDLE,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,plain,bright,PINCH_RING,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,plain,bright,PINCH_PINKY,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,plain,bright,PINCH_IM,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,plain,bright,PINCH_IMRP,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,cluttered,mixed,FIST,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,CLOSED_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,BRAVO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,THUMBS_DOWN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,ONE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,TWO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,THREE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,FOUR,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,FIVE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,OPEN_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,SHAKA,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PEACE_SIGN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,L,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,POINT_RIGHT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,POINT_LEFT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PINCH_INDEX,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PINCH_MIDDLE,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PINCH_RING,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PINCH_PINKY,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PINCH_IM,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U01,cluttered,mixed,PINCH_IMRP,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,plain,bright,FIST,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,CLOSED_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,BRAVO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,THUMBS_DOWN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,ONE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,TWO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,THREE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,FOUR,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,FIVE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,OPEN_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,SHAKA,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,PEACE_SIGN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,L,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,POINT_RIGHT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,POINT_LEFT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,plain,bright,PINCH_INDEX,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,plain,bright,PINCH_MIDDLE,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,plain,bright,PINCH_RING,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,plain,bright,PINCH_PINKY,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,plain,bright,PINCH_IM,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,plain,bright,PINCH_IMRP,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,cluttered,mixed,FIST,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,CLOSED_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,BRAVO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,THUMBS_DOWN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,ONE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,TWO,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,THREE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,FOUR,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,FIVE,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,OPEN_PALM,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,SHAKA,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PEACE_SIGN,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,L,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,POINT_RIGHT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,POINT_LEFT,60,0,0,AUTO,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PINCH_INDEX,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PINCH_MIDDLE,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PINCH_RING,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PINCH_PINKY,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PINCH_IM,60,0,0,MANUAL,not_started,,
phase4_v2,unified,U02,cluttered,mixed,PINCH_IMRP,60,0,0,MANUAL,not_started,,
